,location,tweetcreatedts,clean_tweet,vader_score,vader_sentiment_label,sentiment
0,"Detroit, MI",2020-05-29 02:27:53,"America going flames @POTUS? Oh wait, know... #coronavirus #TrumpMeltdown #TrumpOwnsThisCrisis #GeorgeFloyd #minneapolisriots #depression #JusticeForGeorgeFloyd https://t.co/z522UmDEqK",-0.5719,-1,negative
1,"Queensland, Australia.",2020-05-29 02:24:37,"The biggest difference #financial #recession financial #depression&gt;&gt; recession hurts others, depression impacts you! So #COVID19 depression, please tread carefully.",-0.9275,-1,negative
2,Cambridgeshire,2020-05-29 02:17:03,"I’ve made video part series created @CPFT_NHS @IaptPws @PboroMHExemplar support people #worry, #anxiety #depression, especially #covid19. It concludes #relationships episode focuses #endingrelationships https://t.co/wndrWYahWY",-0.5574,-1,negative
3,"Cambridge, MA",2020-05-29 02:10:19,"POC “are likely white adults report significant stressors life result coronavirus pandemic, namely getting coronavirus (71% vs. 59%...), basic needs (61% vs. 47%), access health care services (59% vs. 46%).” #stress https://t.co/hoFr6YhvvB",-0.2263,-1,negative
4,,2020-05-29 02:09:25,@itsJeffTiedrich I guess 'American Carnage' spoke ... He must proud THIS first thing life #OrangeJulius successfully delivered. #COVID19 #depression 2.0 ... #TiredFromWinning,0.3818,1,positive
5,"Rochester, NY",2020-05-29 02:07:19,Coping Through Quarantine - 2 Things To Help You De-Stress Stay Calm You're Cooped Up https://t.co/1ZKpDe8Get #COVID19 #Coronavirus #Isolation #Stress,-0.128,-1,negative
6,"Calgary, AB",2020-05-29 02:02:42,How people responding #stress #ibd #COVID-19 #IBD webinar 🍎 https://t.co/YThYJLwDS7,-0.4215,-1,negative
7,,2020-05-29 01:58:04,"""Millions people around world coping #jobloss caused #COVID19 pandemic. Whether it’s temporary permanent, unemployment lead stress, #anxiety, #depression #mentalhealth challenges."" Via @seattletimes https://t.co/SvH611PJty",-0.8689,-1,negative
8,Maine,2020-05-29 01:56:01,I’ve never imagined headlines UN planet’s mental health - times a’changin. #mentalhealth #globalmentalhealth #Grief #Fear #depression #griefandloss #panic #uncertainty #healing #loveoneanother https://t.co/dr6Hj5IiaC,-0.9413,-1,negative
9,"Massachusetts, USA",2020-05-29 01:47:39,"Didn’t sleep. Felt wicked darkness. This morning, news dear friend committed suicide. A public servant lived serve oppressed. For some, price paid extended shelter-at-home fatal. Depression hurts. #coronavirus #depression @realDonaldTrump",-0.9643,-1,negative
10,"Long Beach, NY",2020-05-29 01:37:26,No One Is Actually Learning Because We Are All Grieving https://t.co/iyL80u7SGo #schoolrubric #coronavirus #covid-19 #distancelearning #grief #stress #trauma #wellness via @atheadavis @schoolrubric https://t.co/BhZGjlXXg2,-0.886,-1,negative
11,,2020-05-29 01:23:53,"Our brains built complex thinking, planning &amp; remembering times massive upheaval. Under #stress, less able call previously learned knowledge &amp; memories. So feeling impaired #COVID19 “a natural biological response” https://t.co/7rpYg0JgFy https://t.co/1pwhUanDK2",0.1757,1,positive
12,"St Joseph, MI",2020-05-29 01:11:04,"#COVID19 + #socialdistancing necessary many #patients (although states relaxed #SIP order) + #migraine cured + #isolation = increased #pain, #anxiety, #depression &amp; #suicidal thoughts. Please join #supportgroup, #phoneafriend, use #telemedicine. https://t.co/iEs5nvkfqZ",-0.7964,-1,negative
13,"Long Beach, CA aka LBC",2020-05-29 00:59:20,"#Breaking: 2.1 #Million More Americans File #Jobless Claims Bringing The #CoronaVirus Crisis Total To 40 Million #Jobless ""So-Far"" &amp; Counting As Our Country Moves Closer Towards #Depression Era Conditions https://t.co/73PxiauTRE via @ABC",-0.8316,-1,negative
14,,2020-05-29 00:58:48,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
15,Sri Lanka & Roaming,2020-05-29 00:51:51,"Our brains built complex thinking, planning &amp; remembering times massive upheaval. Under #stress, less able call previously learned knowledge &amp; memories. So feeling impaired #COVID19 “a natural biological response” https://t.co/7rpYg0JgFy https://t.co/1pwhUanDK2",0.1757,1,positive
16,Harlem to Hollywood,2020-05-29 00:49:45,"Finding brought tears.. it’s do.. ⁣❤️ ⁣ I come family severe #Depression #MentalIllness.. ALL things happening world, #Covid19, #Quarantine,… https://t.co/cbu0qt2ngx",-0.802,-1,negative
17,"Richmond, VA - USA",2020-05-29 00:42:28,"Day 575 - Memories A #swim outside full sun warmth reminds #Childhood #summer. It great opportunity again, significantly decreases #stress #covid times. I hope everyone… https://t.co/OiZCV4kh7z",0.875,1,positive
18,"Perth, Western Australia",2020-05-29 00:22:50,No storm last forever..... #mentalhealth #mentalhealthawareness #anxiety #selfcare #depression #selflove #love #health #wellness #mentalhealthmatters #motivation #therapy #mindfulness #healing #covid #psychology #ptsd #life #loveyourself Credits: https://t.co/sozQebCcPj https://t.co/wpv6eakGo7,0.6597,1,positive
19,"London, United Kingdom",2020-05-29 00:04:03,Train mind see think things differently. #covid19 #coronavirus #coronavirushelp #cognitivepsychology #cognitivereframing #psychology #thepsychtalk #mentalhealth #depression #positivity #positivethoughts https://t.co/wpXFPmdEzM,-0.1027,-1,negative
20,"Chagrin Falls, Ohio",2020-05-29 00:03:02,"With #MentalHealthAwarenessMonth wrapping days, encourage #pastors #ministry leaders watch video equipping pastors coming #mentalhealth #crisis. https://t.co/Yv5kP7Jy9s #emotionalhealth #COVID19 #crisis #specialneeds #anxiety #depression https://t.co/5PIU3j51a3",-0.8834,-1,negative
21,"Atlanta, Georgia",2020-05-28 23:57:59,Some #stress normal. Here aspects may need take consideration take additional steps care. #COVID-19 #IBD webinar 🍎 https://t.co/fcvygdp5Mv,0.1027,1,positive
22,,2020-05-28 23:55:57,"@LighthouseCntr I wish would ... ughhh #HowAreYouReallyChallenge I saying: Now, every person knows WE feel EVERY DAY !!! #HowAreYouReallyChallenge #Depression #MentalHealth #Hope #Corona #CoronaVirus https://t.co/Z9EkullUSY",0.4168,1,positive
23,,2020-05-28 23:55:52,"@LighthouseCntr I wish would ... ughhh #HowAreYouReallyChallenge I saying: Now, every person knows WE feel EVERY DAY !!! #HowAreYouReallyChallenge #Depression #MentalHealth #Hope #Corona #CoronaVirus https://t.co/Z9EkullUSY",0.4168,1,positive
24,"California, USA",2020-05-28 23:55:27,"@LighthouseCntr I wish would ... ughhh #HowAreYouReallyChallenge I saying: Now, every person knows WE feel EVERY DAY !!! #HowAreYouReallyChallenge #Depression #MentalHealth #Hope #Corona #CoronaVirus https://t.co/Z9EkullUSY",0.4168,1,positive
25,"Arlington, Virginia",2020-05-28 23:46:48,"Life hard best circumstances. During #COVID19 beyond, I want draw attention @TheStabilityNet. #MentalHealthMonth #mentalillness #MentalHealthMatters",0.6249,1,positive
